filename,label
sample300,surprised
sample277,neutral
sample271,neutral
sample098,angry
sample150,neutral
sample149,happy
sample134,calm
sample036,surprised
sample296,neutral
sample279,surprised
sample058,calm
sample234,neutral
sample116,sad
sample037,neutral
sample289,surprised
sample158,happy
sample195,happy
sample106,neutral
sample276,angry
sample062,neutral
sample172,happy
sample088,happy
sample223,neutral
sample068,calm
sample041,neutral
sample235,neutral
sample265,surprised
sample142,calm
sample016,angry
sample161,happy
sample067,neutral
sample258,happy
sample007,sad
sample107,surprised
sample059,fearful
sample128,angry
sample243,happy
sample019,neutral
sample203,neutral
sample291,calm
sample060,neutral
sample051,surprised
sample301,calm
sample231,angry
sample118,neutral
sample280,fearful
sample079,happy
sample115,surprised
sample095,neutral
sample217,neutral
sample032,neutral
sample192,surprised
sample237,happy
sample143,happy
sample183,neutral
sample281,neutral
sample063,sad
sample002,surprised
sample074,neutral
sample176,neutral
sample193,surprised
sample004,angry
sample208,fearful
sample048,neutral
sample302,neutral
sample096,neutral
sample140,neutral
sample005,neutral
sample022,neutral
sample256,surprised
sample292,surprised
sample105,surprised
sample052,angry
sample124,neutral
sample050,happy
sample123,neutral
sample255,surprised
sample198,neutral
sample130,fearful
sample080,neutral
sample092,neutral
sample212,happy
sample240,neutral
sample065,neutral
sample119,neutral
sample020,calm
sample314,happy
sample249,neutral
sample218,neutral
sample121,fearful
sample162,surprised
sample024,sad
sample267,happy
sample189,calm
sample166,surprised
sample077,fearful
sample305,surprised
sample138,neutral
sample103,neutral
sample135,happy
sample274,neutral
sample169,neutral
sample141,neutral
sample210,neutral
sample031,happy
sample216,happy
sample091,neutral
sample191,angry
sample029,surprised
sample254,neutral
sample084,disgust
sample122,neutral
sample014,calm
sample222,calm
sample173,sad
sample139,happy
sample163,calm
sample012,neutral
sample108,fearful
sample147,surprised
sample196,happy
sample229,happy
sample152,surprised
sample264,neutral
sample272,happy
sample188,sad
sample282,calm
sample220,neutral
sample025,neutral
sample146,neutral
sample040,neutral
sample180,neutral
sample214,fearful
sample298,surprised
sample061,happy
sample008,sad
sample145,neutral
sample070,disgust
sample114,happy
sample015,neutral
sample253,calm
sample303,fearful
sample295,angry
sample269,sad
sample313,fearful
sample244,neutral
sample228,calm
sample069,surprised
sample046,happy
sample199,neutral
sample072,fearful
sample102,calm
sample054,happy
sample151,surprised
sample155,neutral
sample270,calm
sample132,surprised
sample023,angry
sample089,happy
sample299,neutral
sample131,neutral
sample205,neutral
sample064,happy
sample268,happy
sample184,disgust
sample227,neutral
sample252,surprised
sample187,neutral
sample182,neutral
sample045,neutral
sample144,neutral
sample168,surprised
sample263,happy
sample082,disgust
sample311,disgust
sample137,neutral
sample010,calm
sample230,happy
sample078,neutral
sample273,happy
sample246,calm
sample112,neutral
sample127,neutral
sample248,neutral
sample250,fearful
sample312,happy
sample251,happy
sample033,angry
sample259,neutral
sample047,disgust
sample178,sad
sample027,neutral
sample066,calm
sample057,fearful
sample287,happy
sample000,happy
sample129,surprised
sample170,neutral
sample293,fearful
sample087,neutral
sample034,disgust
sample136,angry
sample101,disgust
sample055,happy
sample200,happy
sample053,neutral
sample275,sad
sample109,neutral
sample164,happy
sample081,neutral
sample075,surprised
sample171,angry
sample283,disgust
sample209,calm
sample206,surprised
sample204,neutral
sample042,neutral
sample071,happy
sample185,surprised
sample262,calm
sample225,surprised
sample194,neutral
sample009,sad
sample197,calm
sample202,happy
sample154,neutral
sample221,neutral
sample073,sad
sample148,neutral
sample113,calm
sample294,fearful
sample307,surprised
sample153,happy
sample093,happy
sample035,happy
sample083,neutral
sample017,happy
sample181,neutral
sample013,neutral
sample304,neutral
sample242,angry
sample030,calm
sample232,neutral
sample157,neutral
sample175,fearful
sample241,neutral
sample100,neutral
sample306,calm
sample201,angry
sample261,sad
sample056,neutral
sample043,angry
sample111,neutral
sample190,neutral
sample160,happy
sample285,happy
sample006,calm
sample211,neutral
sample044,surprised
sample104,surprised
sample026,neutral
sample213,surprised
sample021,surprised
sample278,calm
sample085,happy
sample236,sad
sample238,disgust
sample288,neutral
sample156,neutral
sample159,neutral
sample097,disgust
sample165,happy
sample018,neutral
sample011,neutral
sample167,angry
sample038,happy
sample186,surprised
sample099,calm
sample224,happy
sample028,calm
sample226,happy
sample090,angry
sample233,neutral
sample308,surprised
sample310,neutral
sample133,happy
sample215,calm
sample001,calm
sample003,calm
sample179,happy
sample260,neutral
sample207,surprised
sample125,surprised
sample120,neutral
sample239,fearful
sample297,sad
sample247,neutral
sample126,calm
sample177,disgust
sample094,sad
sample039,happy
sample309,neutral
sample086,surprised
sample219,sad
sample117,disgust
sample110,disgust
sample284,neutral
sample290,neutral
sample174,calm
sample245,surprised
sample286,disgust
sample049,fearful
sample076,neutral
sample266,neutral
sample257,happy
