filename,label
sample300,fearful
sample277,sad
sample271,surprised
sample098,angry
sample150,fearful
sample149,angry
sample134,surprised
sample036,sad
sample296,surprised
sample279,fearful
sample058,fearful
sample234,calm
sample116,calm
sample037,surprised
sample289,surprised
sample158,fearful
sample195,fearful
sample106,happy
sample276,angry
sample062,surprised
sample172,disgust
sample088,angry
sample223,surprised
sample068,calm
sample041,calm
sample235,calm
sample265,fearful
sample142,disgust
sample016,angry
sample161,fearful
sample067,sad
sample258,happy
sample007,disgust
sample107,sad
sample059,fearful
sample128,angry
sample243,surprised
sample019,sad
sample203,surprised
sample291,calm
sample060,surprised
sample051,fearful
sample301,calm
sample231,angry
sample118,sad
sample280,angry
sample079,fearful
sample115,surprised
sample095,calm
sample217,sad
sample032,surprised
sample192,surprised
sample237,happy
sample143,angry
sample183,calm
sample281,sad
sample063,disgust
sample002,happy
sample074,sad
sample176,sad
sample193,surprised
sample004,angry
sample208,fearful
sample048,happy
sample302,calm
sample096,calm
sample140,surprised
sample005,sad
sample022,calm
sample256,surprised
sample292,happy
sample105,surprised
sample052,angry
sample124,surprised
sample050,disgust
sample123,sad
sample255,surprised
sample198,calm
sample130,angry
sample080,calm
sample092,sad
sample212,angry
sample240,sad
sample065,happy
sample119,surprised
sample020,calm
sample314,angry
sample249,surprised
sample218,calm
sample121,angry
sample162,surprised
sample024,disgust
sample267,angry
sample189,calm
sample166,surprised
sample077,sad
sample305,calm
sample138,surprised
sample103,sad
sample135,happy
sample274,sad
sample169,surprised
sample141,surprised
sample210,surprised
sample031,happy
sample216,happy
sample091,neutral
sample191,angry
sample029,happy
sample254,sad
sample084,disgust
sample122,calm
sample014,calm
sample222,calm
sample173,disgust
sample139,disgust
sample163,calm
sample012,calm
sample108,angry
sample147,surprised
sample196,happy
sample229,angry
sample152,surprised
sample264,calm
sample272,happy
sample188,sad
sample282,disgust
sample220,sad
sample025,surprised
sample146,sad
sample040,surprised
sample180,happy
sample214,fearful
sample298,surprised
sample061,angry
sample008,disgust
sample145,surprised
sample070,disgust
sample114,happy
sample015,sad
sample253,disgust
sample303,angry
sample295,angry
sample269,fearful
sample313,fearful
sample244,calm
sample228,calm
sample069,surprised
sample046,fearful
sample199,sad
sample072,happy
sample102,disgust
sample054,angry
sample151,surprised
sample155,calm
sample270,calm
sample132,surprised
sample023,angry
sample089,happy
sample299,calm
sample131,surprised
sample205,calm
sample064,happy
sample268,fearful
sample184,disgust
sample227,sad
sample252,surprised
sample187,neutral
sample182,sad
sample045,disgust
sample144,calm
sample168,surprised
sample263,angry
sample082,disgust
sample311,disgust
sample137,happy
sample010,calm
sample230,surprised
sample078,sad
sample273,angry
sample246,calm
sample112,calm
sample127,calm
sample248,calm
sample250,angry
sample312,disgust
sample251,happy
sample033,disgust
sample259,calm
sample047,disgust
sample178,fearful
sample027,calm
sample066,disgust
sample057,fearful
sample287,fearful
sample000,happy
sample129,angry
sample170,surprised
sample293,angry
sample087,sad
sample034,disgust
sample136,angry
sample101,disgust
sample055,fearful
sample200,happy
sample053,calm
sample275,disgust
sample109,surprised
sample164,surprised
sample081,disgust
sample075,surprised
sample171,angry
sample283,disgust
sample209,disgust
sample206,surprised
sample204,surprised
sample042,happy
sample071,fearful
sample185,surprised
sample262,calm
sample225,fearful
sample194,disgust
sample009,disgust
sample197,calm
sample202,happy
sample154,happy
sample221,calm
sample073,sad
sample148,calm
sample113,disgust
sample294,fearful
sample307,surprised
sample153,surprised
sample093,happy
sample035,disgust
sample083,disgust
sample017,happy
sample181,calm
sample013,calm
sample304,sad
sample242,angry
sample030,calm
sample232,surprised
sample157,neutral
sample175,fearful
sample241,calm
sample100,calm
sample306,calm
sample201,angry
sample261,happy
sample056,disgust
sample043,angry
sample111,calm
sample190,sad
sample160,happy
sample285,disgust
sample006,calm
sample211,calm
sample044,surprised
sample104,fearful
sample026,calm
sample213,surprised
sample021,surprised
sample278,calm
sample085,surprised
sample236,calm
sample238,disgust
sample288,neutral
sample156,calm
sample159,surprised
sample097,disgust
sample165,angry
sample018,sad
sample011,surprised
sample167,angry
sample038,happy
sample186,happy
sample099,disgust
sample224,fearful
sample028,calm
sample226,happy
sample090,angry
sample233,happy
sample308,surprised
sample310,calm
sample133,happy
sample215,calm
sample001,calm
sample003,sad
sample179,fearful
sample260,disgust
sample207,surprised
sample125,surprised
sample120,calm
sample239,fearful
sample297,disgust
sample247,sad
sample126,disgust
sample177,happy
sample094,calm
sample039,fearful
sample309,calm
sample086,fearful
sample219,disgust
sample117,disgust
sample110,disgust
sample284,happy
sample290,surprised
sample174,calm
sample245,surprised
sample286,calm
sample049,sad
sample076,sad
sample266,surprised
sample257,happy
