filename,label
sample300,fearful
sample277,happy
sample271,surprised
sample098,surprised
sample150,happy
sample149,angry
sample134,surprised
sample036,happy
sample296,surprised
sample279,surprised
sample058,surprised
sample234,calm
sample116,disgust
sample037,happy
sample289,surprised
sample158,angry
sample195,surprised
sample106,happy
sample276,angry
sample062,surprised
sample172,happy
sample088,angry
sample223,surprised
sample068,calm
sample041,calm
sample235,calm
sample265,angry
sample142,disgust
sample016,angry
sample161,fearful
sample067,sad
sample258,happy
sample007,disgust
sample107,calm
sample059,surprised
sample128,angry
sample243,happy
sample019,calm
sample203,happy
sample291,calm
sample060,surprised
sample051,surprised
sample301,calm
sample231,angry
sample118,calm
sample280,surprised
sample079,happy
sample115,surprised
sample095,calm
sample217,calm
sample032,sad
sample192,surprised
sample237,happy
sample143,angry
sample183,sad
sample281,calm
sample063,disgust
sample002,happy
sample074,sad
sample176,sad
sample193,surprised
sample004,angry
sample208,fearful
sample048,happy
sample302,calm
sample096,calm
sample140,surprised
sample005,calm
sample022,sad
sample256,happy
sample292,angry
sample105,happy
sample052,angry
sample124,surprised
sample050,angry
sample123,calm
sample255,surprised
sample198,calm
sample130,angry
sample080,calm
sample092,calm
sample212,angry
sample240,calm
sample065,happy
sample119,surprised
sample020,calm
sample314,angry
sample249,surprised
sample218,disgust
sample121,angry
sample162,surprised
sample024,disgust
sample267,angry
sample189,disgust
sample166,surprised
sample077,sad
sample305,calm
sample138,surprised
sample103,calm
sample135,happy
sample274,sad
sample169,surprised
sample141,surprised
sample210,surprised
sample031,surprised
sample216,happy
sample091,calm
sample191,angry
sample029,fearful
sample254,sad
sample084,disgust
sample122,sad
sample014,disgust
sample222,calm
sample173,sad
sample139,angry
sample163,calm
sample012,sad
sample108,angry
sample147,surprised
sample196,surprised
sample229,happy
sample152,surprised
sample264,calm
sample272,happy
sample188,sad
sample282,disgust
sample220,surprised
sample025,surprised
sample146,sad
sample040,happy
sample180,sad
sample214,fearful
sample298,surprised
sample061,angry
sample008,disgust
sample145,surprised
sample070,disgust
sample114,angry
sample015,calm
sample253,disgust
sample303,angry
sample295,angry
sample269,fearful
sample313,fearful
sample244,calm
sample228,calm
sample069,fearful
sample046,disgust
sample199,calm
sample072,angry
sample102,disgust
sample054,angry
sample151,surprised
sample155,calm
sample270,sad
sample132,surprised
sample023,angry
sample089,happy
sample299,calm
sample131,surprised
sample205,calm
sample064,angry
sample268,happy
sample184,disgust
sample227,disgust
sample252,surprised
sample187,sad
sample182,calm
sample045,sad
sample144,calm
sample168,surprised
sample263,angry
sample082,disgust
sample311,disgust
sample137,surprised
sample010,calm
sample230,happy
sample078,sad
sample273,angry
sample246,calm
sample112,calm
sample127,calm
sample248,calm
sample250,angry
sample312,disgust
sample251,fearful
sample033,angry
sample259,calm
sample047,disgust
sample178,disgust
sample027,calm
sample066,disgust
sample057,fearful
sample287,angry
sample000,angry
sample129,happy
sample170,surprised
sample293,angry
sample087,calm
sample034,disgust
sample136,angry
sample101,disgust
sample055,fearful
sample200,surprised
sample053,calm
sample275,disgust
sample109,surprised
sample164,happy
sample081,disgust
sample075,surprised
sample171,angry
sample283,disgust
sample209,disgust
sample206,fearful
sample204,happy
sample042,sad
sample071,happy
sample185,surprised
sample262,disgust
sample225,surprised
sample194,disgust
sample009,disgust
sample197,sad
sample202,angry
sample154,happy
sample221,calm
sample073,calm
sample148,calm
sample113,calm
sample294,angry
sample307,surprised
sample153,happy
sample093,angry
sample035,disgust
sample083,calm
sample017,surprised
sample181,calm
sample013,calm
sample304,sad
sample242,angry
sample030,disgust
sample232,surprised
sample157,sad
sample175,fearful
sample241,sad
sample100,calm
sample306,calm
sample201,angry
sample261,disgust
sample056,disgust
sample043,angry
sample111,calm
sample190,sad
sample160,happy
sample285,disgust
sample006,calm
sample211,calm
sample044,surprised
sample104,fearful
sample026,calm
sample213,surprised
sample021,surprised
sample278,disgust
sample085,happy
sample236,disgust
sample238,disgust
sample288,surprised
sample156,sad
sample159,sad
sample097,disgust
sample165,angry
sample018,sad
sample011,surprised
sample167,angry
sample038,happy
sample186,happy
sample099,disgust
sample224,happy
sample028,disgust
sample226,angry
sample090,angry
sample233,surprised
sample308,surprised
sample310,calm
sample133,angry
sample215,calm
sample001,calm
sample003,sad
sample179,angry
sample260,disgust
sample207,surprised
sample125,happy
sample120,calm
sample239,fearful
sample297,disgust
sample247,surprised
sample126,sad
sample177,sad
sample094,sad
sample039,fearful
sample309,calm
sample086,happy
sample219,disgust
sample117,sad
sample110,disgust
sample284,disgust
sample290,surprised
sample174,calm
sample245,fearful
sample286,disgust
sample049,calm
sample076,sad
sample266,surprised
sample257,happy
