filename,label
sample300,fearful
sample277,angry
sample271,surprised
sample098,sad
sample150,sad
sample149,surprised
sample134,happy
sample036,angry
sample296,angry
sample279,sad
sample058,happy
sample234,angry
sample116,happy
sample037,surprised
sample289,fearful
sample158,fearful
sample195,happy
sample106,disgust
sample276,surprised
sample062,sad
sample172,surprised
sample088,happy
sample223,calm
sample068,fearful
sample041,surprised
sample235,fearful
sample265,sad
sample142,surprised
sample016,disgust
sample161,calm
sample067,happy
sample258,surprised
sample007,calm
sample107,happy
sample059,calm
sample128,surprised
sample243,angry
sample019,surprised
sample203,angry
sample291,angry
sample060,surprised
sample051,calm
sample301,happy
sample231,surprised
sample118,sad
sample280,calm
sample079,disgust
sample115,calm
sample095,angry
sample217,surprised
sample032,sad
sample192,surprised
sample237,fearful
sample143,calm
sample183,angry
sample281,fearful
sample063,angry
sample002,disgust
sample074,angry
sample176,angry
sample193,happy
sample004,fearful
sample208,happy
sample048,angry
sample302,happy
sample096,happy
sample140,sad
sample005,sad
sample022,sad
sample256,surprised
sample292,happy
sample105,calm
sample052,angry
sample124,sad
sample050,angry
sample123,disgust
sample255,surprised
sample198,fearful
sample130,fearful
sample080,sad
sample092,sad
sample212,angry
sample240,angry
sample065,sad
sample119,happy
sample020,calm
sample314,disgust
sample249,sad
sample218,disgust
sample121,calm
sample162,sad
sample024,disgust
sample267,disgust
sample189,surprised
sample166,surprised
sample077,sad
sample305,happy
sample138,happy
sample103,disgust
sample135,happy
sample274,fearful
sample169,angry
sample141,disgust
sample210,sad
sample031,sad
sample216,angry
sample091,disgust
sample191,surprised
sample029,disgust
sample254,happy
sample084,angry
sample122,happy
sample014,happy
sample222,happy
sample173,surprised
sample139,calm
sample163,calm
sample012,sad
sample108,disgust
sample147,fearful
sample196,sad
sample229,fearful
sample152,disgust
sample264,sad
sample272,fearful
sample188,surprised
sample282,surprised
sample220,happy
sample025,happy
sample146,happy
sample040,happy
sample180,angry
sample214,fearful
sample298,calm
sample061,surprised
sample008,disgust
sample145,disgust
sample070,sad
sample114,angry
sample015,disgust
sample253,sad
sample303,happy
sample295,calm
sample269,angry
sample313,disgust
sample244,surprised
sample228,disgust
sample069,happy
sample046,happy
sample199,angry
sample072,angry
sample102,calm
sample054,angry
sample151,sad
sample155,calm
sample270,happy
sample132,fearful
sample023,happy
sample089,happy
sample299,surprised
sample131,happy
sample205,happy
sample064,disgust
sample268,calm
sample184,angry
sample227,disgust
sample252,disgust
sample187,angry
sample182,disgust
sample045,disgust
sample144,angry
sample168,angry
sample263,fearful
sample082,happy
sample311,calm
sample137,disgust
sample010,angry
sample230,angry
sample078,sad
sample273,surprised
sample246,fearful
sample112,disgust
sample127,calm
sample248,happy
sample250,disgust
sample312,calm
sample251,calm
sample033,disgust
sample259,happy
sample047,angry
sample178,angry
sample027,angry
sample066,calm
sample057,calm
sample287,sad
sample000,happy
sample129,sad
sample170,disgust
sample293,surprised
sample087,angry
sample034,surprised
sample136,angry
sample101,angry
sample055,surprised
sample200,fearful
sample053,surprised
sample275,calm
sample109,fearful
sample164,surprised
sample081,surprised
sample075,disgust
sample171,happy
sample283,calm
sample209,surprised
sample206,disgust
sample204,happy
sample042,fearful
sample071,fearful
sample185,surprised
sample262,happy
sample225,fearful
sample194,fearful
sample009,sad
sample197,angry
sample202,calm
sample154,fearful
sample221,disgust
sample073,surprised
sample148,disgust
sample113,happy
sample294,angry
sample307,fearful
sample153,sad
sample093,sad
sample035,happy
sample083,calm
sample017,sad
sample181,happy
sample013,calm
sample304,calm
sample242,angry
sample030,sad
sample232,happy
sample157,sad
sample175,happy
sample241,angry
sample100,calm
sample306,happy
sample201,angry
sample261,fearful
sample056,angry
sample043,disgust
sample111,angry
sample190,disgust
sample160,sad
sample285,angry
sample006,happy
sample211,fearful
sample044,surprised
sample104,sad
sample026,happy
sample213,disgust
sample021,surprised
sample278,surprised
sample085,calm
sample236,sad
sample238,happy
sample288,sad
sample156,fearful
sample159,angry
sample097,disgust
sample165,surprised
sample018,sad
sample011,surprised
sample167,surprised
sample038,happy
sample186,angry
sample099,sad
sample224,fearful
sample028,happy
sample226,happy
sample090,angry
sample233,calm
sample308,fearful
sample310,surprised
sample133,fearful
sample215,surprised
sample001,calm
sample003,fearful
sample179,sad
sample260,disgust
sample207,fearful
sample125,happy
sample120,fearful
sample239,happy
sample297,sad
sample247,fearful
sample126,fearful
sample177,surprised
sample094,fearful
sample039,sad
sample309,sad
sample086,fearful
sample219,angry
sample117,fearful
sample110,disgust
sample284,fearful
sample290,angry
sample174,angry
sample245,sad
sample286,happy
sample049,angry
sample076,fearful
sample266,disgust
sample257,disgust
